No,Sentimen,Sentimen_clean,Label
289,kelakuan lo itu kayak babi liar nerjang apa aja tanpa mikir dulu,kelakuan lo itu kayak babi liar nerjang apa aja tanpa mikir dulu,non-cyberbully
290,goblok banget lo ini udah dikasih contoh yang jelas masih aja ga bisa,goblok banget lo ini udah dikasih contoh yang jelas masih aja ga bisa,cyberbully
293,si goblok itu ngomong di belakang orang tapi pas ketemu langsung senyum-senyum,si goblok itu ngomong di belakang orang tapi pas ketemu langsung senyumsenyum,cyberbully
294,mati lo aja biar masalah yang lo ciptain beres sendiri,mati lo aja biar masalah yang lo ciptain beres sendiri,cyberbully
295,babi guling yang matangnya sempurna kulitnya harus renyah dan dagingnya juicy,babi guling yang matangnya sempurna kulitnya harus renyah dan dagingnya juicy,non-cyberbully
297,lo itu tolol beneran diajak mikir bareng malah ngeblank total,lo itu tolol beneran diajak mikir bareng malah ngeblank total,cyberbully
301,dasar anjing lo tau salah tapi ga mau minta maaf sombong banget,dasar anjing lo tau salah tapi ga mau minta maaf sombong banget,cyberbully
302,si tolol itu ngerasa keren karena nolak semua saran yang ada,si tolol itu ngerasa keren karena nolak semua saran yang ada,non-cyberbully
303,anjing chow chow dikenal karena bulu tebalnya dan lidahnya yang berwarna biru,anjing chow chow dikenal karena bulu tebalnya dan lidahnya yang berwarna biru,non-cyberbully
304,goblok banget lo tuh gagal deadline padahal reminder udah dikasih seminggu sebelumnya,goblok banget lo tuh gagal deadline padahal reminder udah dikasih seminggu sebelumnya,cyberbully
305,mati lo sana beneran deh cape banget sama keberadaan lo,mati lo sana beneran deh cape banget sama keberadaan lo,cyberbully
308,lo itu kelakuannya babi ga bisa jaga mulut dan sikap di mana-mana,lo itu kelakuannya babi ga bisa jaga mulut dan sikap di manamana,cyberbully
312,dasar goblok lo ngirim file yang salah pas presentasi penting depan atasan,dasar goblok lo ngirim file yang salah pas presentasi penting depan atasan,cyberbully
313,babi hutan juga bisa menjadi sumber protein bagi masyarakat di daerah pedalaman,babi hutan juga bisa menjadi sumber protein bagi masyarakat di daerah pedalaman,non-cyberbully
314,anjing lo emang ga bakalan bisa jaga kepercayaan orang lain,anjing lo emang ga bakalan bisa jaga kepercayaan orang lain,cyberbully
315,si tolol itu ngotot sama hal yang udah terbukti salah berkali-kali,si tolol itu ngotot sama hal yang udah terbukti salah berkalikali,cyberbully
317,mati aja lo biar ga ada yang kena masalah gara-gara lo lagi,mati aja lo biar ga ada yang kena masalah garagara lo lagi,cyberbully
319,goblok banget lo tuh salah ngitung harga sampai klien kabur,goblok banget lo tuh salah ngitung harga sampai klien kabur,non-cyberbully
321,lo itu goblok parah ngomong apa aja tanpa cek kebenarannya dulu,lo itu goblok parah ngomong apa aja tanpa cek kebenarannya dulu,cyberbully
323,si tolol itu datang telat ke wawancara kerja terus heran kenapa ga diterima,si tolol itu datang telat ke wawancara kerja terus heran kenapa ga diterima,cyberbully
325,dasar anjing lo ga tau malu minta tolong tapi ga pernah mau bantu balik,dasar anjing lo ga tau malu minta tolong tapi ga pernah mau bantu balik,non-cyberbully
327,tolol banget lo tuh foto penting dihapus ga ada backup sama sekali,tolol banget lo tuh foto penting dihapus ga ada backup sama sekali,cyberbully
328,mati lo sekalian sama kepura-puraan lo itu,mati lo sekalian sama kepurapuraan lo itu,cyberbully
330,babi hutan betina bisa melahirkan sampai dua kali setahun di kondisi yang ideal,babi hutan betina bisa melahirkan sampai dua kali setahun di kondisi yang ideal,non-cyberbully
331,lo itu babi banget ga peduli lingkungan dan orang-orang di sekitar lo,lo itu babi banget ga peduli lingkungan dan orangorang di sekitar lo,cyberbully
332,goblok banget lo ngomong hal sensitif di tempat yang salah tanpa peka,goblok banget lo ngomong hal sensitif di tempat yang salah tanpa peka,cyberbully
337,dasar goblok lo ngaku-ngaku ide orang lain padahal semua orang udah tau,dasar goblok lo ngakungaku ide orang lain padahal semua orang udah tau,cyberbully
338,si tolol itu marah-marah ga jelas waktu semua orang lagi tenang,si tolol itu marahmarah ga jelas waktu semua orang lagi tenang,cyberbully
339,mati lo aja biar suasana jadi lebih kondusif tanpa lo,mati lo aja biar suasana jadi lebih kondusif tanpa lo,cyberbully
340,anjing golden retriever terkenal karena kepribadiannya yang ramah dan penyayang,anjing golden retriever terkenal karena kepribadiannya yang ramah dan penyayang,non-cyberbully
342,tolol banget lo ini masa beli tiket hari H terus ngeluh udah sold out,tolol banget lo ini masa beli tiket hari h terus ngeluh udah sold out,cyberbully
344,lo itu kelakuan babi jorok dan egois ga mau ngalah sama siapapun,lo itu kelakuan babi jorok dan egois ga mau ngalah sama siapapun,cyberbully
347,dasar anjing lo emang ga pernah kapok bikin orang lain sakit hati,dasar anjing lo emang ga pernah kapok bikin orang lain sakit hati,cyberbully
348,goblok banget tuh orang main investasi tanpa riset apapun terus nangis rugi,goblok banget tuh orang main investasi tanpa riset apapun terus nangis rugi,cyberbully
349,babi hutan yang jinak terkadang dipelihara beberapa komunitas adat di pedalaman,babi hutan yang jinak terkadang dipelihara beberapa komunitas adat di pedalaman,non-cyberbully
351,si tolol itu ngerasa hidupnya ga adil padahal semua masalahnya dia sendiri yang buat,si tolol itu ngerasa hidupnya ga adil padahal semua masalahnya dia sendiri yang buat,non-cyberbully
352,mati lo beneran deh udah capek banget sama drama lo,mati lo beneran deh udah capek banget sama drama lo,cyberbully
355,goblok banget lo sampe hal yang udah diajarkan di sekolah dasar aja ga tau,goblok banget lo sampe hal yang udah diajarkan di sekolah dasar aja ga tau,cyberbully
356,lo itu anjing ga punya rasa terima kasih ditolong malah balik nyerang,lo itu anjing ga punya rasa terima kasih ditolong malah balik nyerang,non-cyberbully
359,dasar goblok lo posting berita hoaks di grup tanpa cek fakta dulu,dasar goblok lo posting berita hoaks di grup tanpa cek fakta dulu,cyberbully
360,anjing border terrier termasuk ras yang aktif dan butuh banyak latihan fisik,anjing border terrier termasuk ras yang aktif dan butuh banyak latihan fisik,non-cyberbully
362,lo itu tolol beneran bikin keputusan besar berdasarkan feeling doang,lo itu tolol beneran bikin keputusan besar berdasarkan feeling doang,cyberbully
364,mati aja lo sana ga ada yang bakal kangen sama lo,mati aja lo sana ga ada yang bakal kangen sama lo,cyberbully
366,si goblok itu beli hp mahal tapi ga bisa optimasi pemakaiannya sama sekali,si goblok itu beli hp mahal tapi ga bisa optimasi pemakaiannya sama sekali,cyberbully
367,babi hutan sering jadi simbol keberanian dalam mitologi beberapa budaya,babi hutan sering jadi simbol keberanian dalam mitologi beberapa budaya,non-cyberbully
368,tolol banget lo tuh bilang expert tapi basic skill aja ga kuasai,tolol banget lo tuh bilang expert tapi basic skill aja ga kuasai,cyberbully
371,dasar anjing lo ngomong janji tapi ga pernah satu pun yang ditepatin,dasar anjing lo ngomong janji tapi ga pernah satu pun yang ditepatin,cyberbully
373,lo itu tolol beneran nanya hal sama berkali-kali tanpa nyimpen jawabannya,lo itu tolol beneran nanya hal sama berkalikali tanpa nyimpen jawabannya,cyberbully
375,mati lo sekarang biar orang-orang yang lo injak-injak bisa napas lagi,mati lo sekarang biar orangorang yang lo injakinjak bisa napas lagi,cyberbully
376,babi guling khas bali dibuat dari babi muda yang dimasak dengan api arang,babi guling khas bali dibuat dari babi muda yang dimasak dengan api arang,non-cyberbully
377,si goblok itu nyalahin semua orang ketika proyeknya gagal padahal dia yang salat,si goblok itu nyalahin semua orang ketika proyeknya gagal padahal dia yang salat,cyberbully
382,lo itu kayak anjing liar nggigit siapa aja yang deket sama lo,lo itu kayak anjing liar nggigit siapa aja yang deket sama lo,non-cyberbully
383,goblok banget lo tuh ngasih info yang salah ke semua orang lalu kabur,goblok banget lo tuh ngasih info yang salah ke semua orang lalu kabur,cyberbully
384,dasar goblok lo edit file yang harusnya ga diubah dan sekarang semua data ilang,dasar goblok lo edit file yang harusnya ga diubah dan sekarang semua data ilang,cyberbully
386,si tolol itu ngotot paling bisa parkir padahal mobilnya miring terus,si tolol itu ngotot paling bisa parkir padahal mobilnya miring terus,cyberbully
387,mati lo aja beneran deh udah muak sama keberadaan lo,mati lo aja beneran deh udah muak sama keberadaan lo,cyberbully
389,babi hutan liar menjadi salah satu ancaman serius bagi petani di kawasan hutan,babi hutan liar menjadi salah satu ancaman serius bagi petani di kawasan hutan,non-cyberbully
391,lo itu tolol ga ada hopeful-nya sama sekali masa salah terus ga mau belajar,lo itu tolol ga ada hopefulnya sama sekali masa salah terus ga mau belajar,cyberbully
394,dasar anjing lo ambil kredit kerja orang lain di depan bos ga tau malu,dasar anjing lo ambil kredit kerja orang lain di depan bos ga tau malu,cyberbully
395,anjing alaskan malamute sering dijadikan anjing penarik kereta di daerah bersalju,anjing alaskan malamute sering dijadikan anjing penarik kereta di daerah bersalju,non-cyberbully
396,tolol banget lo tuh gagal ujian teori saja seminggu sebelum ujian praktek,tolol banget lo tuh gagal ujian teori saja seminggu sebelum ujian praktek,cyberbully
398,si goblok itu ngerasa paling produktif padahal hasilnya nol dari minggu lalu,si goblok itu ngerasa paling produktif padahal hasilnya nol dari minggu lalu,non-cyberbully
399,mati lo biar masalah yang lo tinggalin bisa terselesaikan sendiri,mati lo biar masalah yang lo tinggalin bisa terselesaikan sendiri,cyberbully
402,lo itu kayak babi ga bisa kontrol diri makan ga ingat waktu ngomongin orang,lo itu kayak babi ga bisa kontrol diri makan ga ingat waktu ngomongin orang,cyberbully
404,dasar goblok lo lupain meeting penting padahal udah diingetin tiga kali,dasar goblok lo lupain meeting penting padahal udah diingetin tiga kali,cyberbully
406,babi hutan jantan umumnya lebih besar dan memiliki taring yang lebih panjang,babi hutan jantan umumnya lebih besar dan memiliki taring yang lebih panjang,non-cyberbully
407,si tolol itu ngirim pesan panjang tapi ga relevan sama konteks diskusi sama sekali,si tolol itu ngirim pesan panjang tapi ga relevan sama konteks diskusi sama sekali,cyberbully
409,goblok banget lo tuh nulis proposal berhalaman tapi tujuannya ga jelas,goblok banget lo tuh nulis proposal berhalaman tapi tujuannya ga jelas,cyberbully
410,lo itu tolol dan ga ada yang bisa diharapkan dari semua usaha lo,lo itu tolol dan ga ada yang bisa diharapkan dari semua usaha lo,cyberbully
411,mati aja lo sekarang biar orang-orang yang lelah sama lo bisa istirahat,mati aja lo sekarang biar orangorang yang lelah sama lo bisa istirahat,cyberbully
414,dasar anjing lo emang ga punya hati tega ngelakuin itu ke orang yang polos,dasar anjing lo emang ga punya hati tega ngelakuin itu ke orang yang polos,cyberbully
417,si goblok itu jalan ke tempat yang sama setiap hari tapi tetap nyasar,si goblok itu jalan ke tempat yang sama setiap hari tapi tetap nyasar,cyberbully
419,babi hutan yang masih kecil biasanya sangat menggemaskan meski agak liar,babi hutan yang masih kecil biasanya sangat menggemaskan meski agak liar,non-cyberbully
420,lo itu tolol beneran ngeyel sama hal yang udah terbukti salah berkali kali,lo itu tolol beneran ngeyel sama hal yang udah terbukti salah berkali kali,cyberbully
422,goblok banget lo tuh ngomong keras-keras di tempat umum hal yang privat,goblok banget lo tuh ngomong keraskeras di tempat umum hal yang privat,non-cyberbully
423,dasar goblok lo bikin file presentasi dengan font yang ga bisa dibaca,dasar goblok lo bikin file presentasi dengan font yang ga bisa dibaca,cyberbully
424,mati lo sekalian biar ga ada yang kena imbas dari kelakuan lo,mati lo sekalian biar ga ada yang kena imbas dari kelakuan lo,cyberbully
427,si tolol itu sering bikin keputusan mendadak yang ngerepotin semua orang,si tolol itu sering bikin keputusan mendadak yang ngerepotin semua orang,cyberbully
430,lo itu anjing berani banget belakang-belakangi orang yang udah bantu lo,lo itu anjing berani banget belakangbelakangi orang yang udah bantu lo,cyberbully
433,tolol banget lo tuh ga bisa bedain mana masalah lo mana masalah orang,tolol banget lo tuh ga bisa bedain mana masalah lo mana masalah orang,cyberbully
434,dasar goblok lo kirim email ke orang yang salah dan baru sadar seharian kemudian,dasar goblok lo kirim email ke orang yang salah dan baru sadar seharian kemudian,cyberbully
436,mati lo sana cape banget sama keberadaan lo yang cuma nyusahin,mati lo sana cape banget sama keberadaan lo yang cuma nyusahin,cyberbully
437,babi hutan sangat pandai mencium bau dan bisa mendeteksi bahaya dari jauh,babi hutan sangat pandai mencium bau dan bisa mendeteksi bahaya dari jauh,non-cyberbully
438,si goblok itu beli tiket konser tapi ga tau siapa artisnya cuma ikut-ikutan,si goblok itu beli tiket konser tapi ga tau siapa artisnya cuma ikutikutan,cyberbully
441,lo itu tolol beneran masuk dunia profesional tapi ga tau cara berkirim email formal,lo itu tolol beneran masuk dunia profesional tapi ga tau cara berkirim email formal,cyberbully
445,dasar anjing lo main cutoff hubungan tapi nyalahin orang lain yang ninggalin lo,dasar anjing lo main cutoff hubungan tapi nyalahin orang lain yang ninggalin lo,cyberbully
446,goblok banget tuh orang ngelola tim besar tapi komunikasinya kayak anak sd,goblok banget tuh orang ngelola tim besar tapi komunikasinya kayak anak sd,non-cyberbully
447,tolol banget lo tuh bisa salah sebut nama klien di rapat resmi,tolol banget lo tuh bisa salah sebut nama klien di rapat resmi,cyberbully
448,si tolol itu ngerasa paling capek padahal kontribusinya paling dikit,si tolol itu ngerasa paling capek padahal kontribusinya paling dikit,non-cyberbully
450,mati aja lo beneran deh cape banget sama sikap lo yang ga pernah dewasa,mati aja lo beneran deh cape banget sama sikap lo yang ga pernah dewasa,cyberbully
453,lo itu kayak babi rakus minta banyak tapi ga pernah mau kasih balik,lo itu kayak babi rakus minta banyak tapi ga pernah mau kasih balik,non-cyberbully
455,dasar goblok lo ngelepas informasi rahasia perusahaan sembarangan ke orang luar,dasar goblok lo ngelepas informasi rahasia perusahaan sembarangan ke orang luar,cyberbully
458,babi hutan betina akan menyerang siapapun yang mendekati anaknya,babi hutan betina akan menyerang siapapun yang mendekati anaknya,non-cyberbully
459,si goblok itu sering komplain tapi ga pernah mau kasih solusi apapun,si goblok itu sering komplain tapi ga pernah mau kasih solusi apapun,cyberbully
461,lo itu tolol parah diajak kerjasama malah sabotase dari dalam,lo itu tolol parah diajak kerjasama malah sabotase dari dalam,cyberbully
463,mati lo biar orang-orang yang lo kecewain bisa mulai move on,mati lo biar orangorang yang lo kecewain bisa mulai move on,cyberbully
465,anjing labrador sering dilibatkan dalam misi search and rescue karena penciuman tajamnya,anjing labrador sering dilibatkan dalam misi search and rescue karena penciuman tajamnya,non-cyberbully
466,tolol banget lo tuh bisa-bisanya lupa bawa charger saat kerja remote seharian,tolol banget lo tuh bisabisanya lupa bawa charger saat kerja remote seharian,cyberbully
467,dasar anjing lo ga tau malu nglaim pekerjaan orang lain biar keliatan bagus,dasar anjing lo ga tau malu nglaim pekerjaan orang lain biar keliatan bagus,cyberbully
469,si tolol itu marah-marah ke semua orang karena masalah yang sebenernya kesalahannya sendiri,si tolol itu marahmarah ke semua orang karena masalah yang sebenernya kesalahannya sendiri,cyberbully
473,lo itu goblok dan menyebalkan kombinasi yang bikin semua orang males sama lo,lo itu goblok dan menyebalkan kombinasi yang bikin semua orang males sama lo,cyberbully
475,mati lo aja sama arogansi lo itu ga ada yang kangen kok,mati lo aja sama arogansi lo itu ga ada yang kangen kok,cyberbully
476,babi hutan liar dapat berlari dengan kecepatan hingga 40 km per jam,babi hutan liar dapat berlari dengan kecepatan hingga 40 km per jam,non-cyberbully
477,dasar goblok lo datang ke meeting tanpa baca agenda dan malah nanya hal sudah dibahas,dasar goblok lo datang ke meeting tanpa baca agenda dan malah nanya hal sudah dibahas,cyberbully
478,si tolol itu ga bisa terima kritik padahal kritiknya emang valid dan perlu,si tolol itu ga bisa terima kritik padahal kritiknya emang valid dan perlu,cyberbully
481,lo itu anjing emang ga ada baiknya dari dulu sampe sekarang tetap sama,lo itu anjing emang ga ada baiknya dari dulu sampe sekarang tetap sama,cyberbully
484,tolol banget lo tuh share password ke orang asing dan heran akun lo dibobol,tolol banget lo tuh share password ke orang asing dan heran akun lo dibobol,cyberbully
485,dasar goblok lo beli bahan baku yang salah padahal orderannya udah ratusan,dasar goblok lo beli bahan baku yang salah padahal orderannya udah ratusan,cyberbully
486,si goblok itu ngerasa meeting ga penting tapi pas ga diundang malah protes,si goblok itu ngerasa meeting ga penting tapi pas ga diundang malah protes,non-cyberbully
488,mati lo beneran biar kita semua ga usah lihat muka lo lagi,mati lo beneran biar kita semua ga usah lihat muka lo lagi,cyberbully
492,lo itu tolol beneran ngajak debat soal hal yang lo sendiri ga paham,lo itu tolol beneran ngajak debat soal hal yang lo sendiri ga paham,cyberbully
494,dasar anjing lo berani-beraninya nipu orang yang udah percaya sama lo,dasar anjing lo beraniberaninya nipu orang yang udah percaya sama lo,cyberbully
496,babi hutan menjadi salah satu hama pertanian paling merugikan di asia tenggara,babi hutan menjadi salah satu hama pertanian paling merugikan di asia tenggara,non-cyberbully
497,si tolol itu ga pernah mau ngaku salah padahal semua orang udah tau dia yang salah,si tolol itu ga pernah mau ngaku salah padahal semua orang udah tau dia yang salah,cyberbully
498,goblok banget lo tuh masuk rapat penting dengan kondisi setengah tidur,goblok banget lo tuh masuk rapat penting dengan kondisi setengah tidur,cyberbully
500,lo itu goblok parah sampe level mana pun lo ga bakal bisa nyaingin orang normal,lo itu goblok parah sampe level mana pun lo ga bakal bisa nyaingin orang normal,cyberbully
